,close,high,low,open,time,volumefrom,volumeto,timestamp
0,3.0,3.0,0.6747,0.6747,1438905600,123.93,371.79,2015-08-07
1,1.2,3.0,0.15,3.0,1438992000,2119.43,1438.16,2015-08-08
2,1.2,1.2,1.2,1.2,1439078400,0.0,0.0,2015-08-09
3,1.2,1.2,1.2,1.2,1439164800,0.0,0.0,2015-08-10
4,0.99,1.2,0.6504,1.2,1439251200,9486.09,7419.73,2015-08-11
5,1.29,1.29,0.905,0.99,1439337600,2140.46,2376.28,2015-08-12
6,1.88,1.88,1.26,1.29,1439424000,3163.29,4923.22,2015-08-13
7,1.79,2.1,1.79,1.88,1439510400,5800.73,11070.41,2015-08-14
8,1.79,1.79,1.5,1.79,1439596800,8711.24,14812.75,2015-08-15
9,1.37,1.79,0.5,1.79,1439683200,9714.19,10794.95,2015-08-16
10,1.3,1.59,1.25,1.37,1439769600,4325.42,6063.99,2015-08-17
11,1.36,1.36,1.15,1.3,1439856000,2390.72,2867.74,2015-08-18
12,1.24,1.36,0.99,1.36,1439942400,4131.9,4769.3,2015-08-19
13,1.52,1.52,1.24,1.24,1440028800,1273.0,1771.6,2015-08-20
14,1.44,1.53,1.44,1.52,1440115200,6310.99,9197.39,2015-08-21
15,1.4,1.44,1.4,1.44,1440201600,229.59,321.76,2015-08-22
16,1.35,1.4,1.31,1.4,1440288000,323.11,438.75,2015-08-23
17,1.24,1.35,1.24,1.35,1440374400,5117.98,6460.83,2015-08-24
18,1.27,1.28,1.22,1.24,1440460800,938.92,1188.35,2015-08-25
19,1.18,1.27,1.08,1.27,1440547200,2043.44,2337.47,2015-08-26
20,1.14,1.19,1.14,1.18,1440633600,230.3,269.07,2015-08-27
21,1.3,1.3,1.14,1.14,1440720000,20767.1,26922.13,2015-08-28
22,1.18,1.3,1.15,1.3,1440806400,329.64,383.37,2015-08-29
23,1.32,1.35,1.17,1.18,1440892800,8505.13,10975.8,2015-08-30
24,1.31,1.32,0.9,1.32,1440979200,3258.74,3959.42,2015-08-31
25,1.36,1.38,1.31,1.31,1441065600,894.21,1220.61,2015-09-01
26,1.14,1.37,1.14,1.36,1441152000,519.87,698.71,2015-09-02
27,1.23,1.33,1.14,1.14,1441238400,2872.93,3717.92,2015-09-03
28,1.35,1.4,1.28,1.28,1441324800,15.39,18.76,2015-09-04
29,1.37,1.37,1.23,1.23,1441411200,7881.76,10437.44,2015-09-05
30,1.34,1.39,1.34,1.37,1441497600,111.78,145.64,2015-09-06
31,1.28,1.34,1.28,1.34,1441584000,393.9,526.2,2015-09-07
32,1.26,1.28,1.26,1.28,1441670400,82.23,103.93,2015-09-08
33,1.21,1.26,1.21,1.26,1441756800,21.42,27.57,2015-09-09
34,1.19,1.21,1.12,1.21,1441843200,2866.95,3361.62,2015-09-10
35,0.9242,1.19,0.9242,1.19,1441929600,2877.26,3066.25,2015-09-11
36,1.15,1.15,0.9242,0.9242,1442016000,509.27,513.1,2015-09-12
37,0.8856,1.15,0.8837,1.15,1442102400,3917.32,3817.24,2015-09-13
38,0.955,0.9622,0.885,0.8856,1442188800,870.32,805.59,2015-09-14
39,0.95,1.0,0.804,0.955,1442275200,2558.87,2273.61,2015-09-15
40,0.9363,0.9563,0.9363,0.95,1442361600,49.44,47.63,2015-09-16
41,0.875,0.9363,0.8238,0.9363,1442448000,151.36,129.7,2015-09-17
42,0.8523,0.88,0.8523,0.875,1442534400,684.62,593.31,2015-09-18
43,0.89,0.89,0.8013,0.8523,1442620800,4.32,3.59,2015-09-19
44,0.8871,0.89,0.88,0.89,1442707200,13.92,12.33,2015-09-20
45,0.9412,0.95,0.8871,0.8871,1442793600,179.51,171.52,2015-09-21
46,0.8059,0.9412,0.8059,0.9412,1442880000,199.71,175.81,2015-09-22
47,0.91,0.91,0.8059,0.8059,1442966400,14.71,13.25,2015-09-23
